class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
e,b,s,w,t,l,f,c,b,n,e,c,s,?,w,w,p,w,o,p,n,n,m
p,x,y,w,t,p,f,?,n,n,e,e,s,s,w,w,p,w,?,p,k,s,u
e,x,s,g,f,n,f,w,b,k,t,e,s,s,?,w,?,w,o,e,n,a,g
e,x,y,y,t,?,f,?,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
?,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
p,x,?,?,t,p,f,?,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
e,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
e,x,y,y,t,l,f,c,b,g,e,?,s,s,w,w,p,w,o,p,n,n,g
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,?,?,m
e,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,?,p,n,s,g
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,?,?,p,n,v,?
e,x,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g
e,s,f,g,f,n,f,c,n,?,e,e,s,s,w,w,p,w,o,p,n,?,?
e,f,f,w,f,n,f,w,b,k,t,e,s,?,w,w,p,w,o,e,n,a,g
p,x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
p,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
e,b,s,y,t,?,f,c,b,k,e,c,s,s,w,w,?,w,o,p,n,s,m
p,x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
e,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
e,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
e,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
p,f,s,w,t,?,f,c,n,n,e,e,s,s,w,?,p,w,o,p,n,v,g
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
e,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
?,f,f,?,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u
e,x,s,y,t,?,f,w,n,n,t,b,s,s,w,w,p,?,o,p,n,v,d
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,?,n,m
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
e,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,?,n,n,m
e,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
e,x,f,y,t,?,f,w,n,w,?,b,s,s,w,?,p,w,o,p,n,v,d
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,?,w,o,p,k,v,u
p,x,y,n,t,p,f,c,n,w,e,?,s,s,w,w,p,w,o,p,n,s,u
e,x,f,y,t,?,f,w,n,p,t,b,?,s,w,w,p,w,o,p,n,v,d
e,b,s,y,t,l,f,c,b,?,e,c,s,s,w,?,p,w,o,p,k,s,m
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,y,y,?,?,f,c,b,n,e,r,s,y,w,w,p,w,?,p,k,y,p
e,x,f,n,?,n,?,c,n,g,e,e,s,s,w,?,p,w,?,p,k,y,u
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
e,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,?,n,m
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,?,p,n,n,g
e,x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,?,w,o,p,k,s,m
e,x,s,w,t,l,f,c,?,w,e,c,s,s,w,w,p,w,o,p,n,n,m
e,x,y,y,t,?,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p
e,f,y,y,t,l,?,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g
e,x,s,w,t,?,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
